Shoreline	
144.1023682	-40.0313
144.1024	-40.03131983
144.1026473	-40.0316
144.1026665	-40.0319
144.1026526	-40.0322
144.1026216	-40.0325
144.1024	-40.03274711
144.1023255	-40.0328
144.1021	-40.03298559
144.1020334	-40.0331
144.1018	-40.03332835
144.1017521	-40.0334
144.1017408	-40.0337
144.1018	-40.03376989
144.1021	-40.03377865
144.102332	-40.034
144.1024	-40.03406796
144.102565	-40.0343
144.1025901	-40.0346
144.1027	-40.03469187
144.1028692	-40.0349
144.1028369	-40.0352
144.1028331	-40.0355
144.1028764	-40.0358
144.1027	-40.03604263
144.1026432	-40.0361
144.1026284	-40.0364
144.1025575	-40.0367
144.1024	-40.03688878
144.1021	-40.03692772
144.1020562	-40.037
144.1020496	-40.0373
144.1020407	-40.0376
144.1020328	-40.0379
144.1021	-40.03799241
144.1023076	-40.0382
144.1022793	-40.0385
144.1023603	-40.0388
144.1023539	-40.0391
144.1024	-40.03917674
144.1026	-40.0394
144.1026338	-40.0397
144.1026634	-40.04
144.1026478	-40.0403
144.1027	-40.04033477
144.1029366	-40.0406
144.103	-40.04064556
144.1033	-40.04064965
144.1035771	-40.0409
144.1036	-40.04091892
144.1039	-40.04093975
144.1041679	-40.0412
144.1042	-40.04123912
144.1045	-40.04124306
144.1047629	-40.0415
144.1048	-40.04154747
144.1050329	-40.0418
144.1051	-40.04187485
144.1054	-40.04189117
144.1055938	-40.0421
144.1056888	-40.0424
144.1057	-40.04241352
144.1059628	-40.0427
144.106	-40.04273296
144.1062017	-40.043
144.1063	-40.04314049
144.1063845	-40.0433
144.1063528	-40.0436
144.1063	-40.04363533
144.106062	-40.0439
144.1060593	-40.0442
144.106	-40.04427047
144.1057	-40.04432125
144.1054	-40.04439338
144.1052455	-40.0445
144.1051	-40.04455525
144.1048	-40.04453997
144.1045	-40.04453927
144.1042	-40.04454077
144.1039989	-40.0448
144.1039	-40.04491908
144.1037234	-40.0451
144.1036	-40.04529028
144.1034533	-40.0454
144.1033	-40.0455622
144.1031631	-40.0457
144.103	-40.04582124
144.1028483	-40.046
144.1028498	-40.0463
144.1027	-40.04636896
144.1024293	-40.0466
144.1024	-40.04678759
144.1022876	-40.0469
144.1021	-40.04703963
144.1019396	-40.0472
144.1018	-40.04727275
144.1015821	-40.0472
144.1015	-40.04711786
144.1012	-40.0471494
144.1009	-40.04716436
144.1006	-40.04702582
144.1004815	-40.0469
144.1003	-40.04683448
144.1002345	-40.0469
144.1003	-40.04696552
144.1005395	-40.0472
144.1006	-40.04724891
144.1008602	-40.0475
144.1009	-40.04754962
144.1009496	-40.0475
144.1012	-40.0472506
144.1015	-40.04728214
144.1015727	-40.0475
144.1015	-40.04756317
144.1012632	-40.0478
144.1012	-40.04785
144.1009	-40.04792312
144.1006	-40.04792524
144.1004249	-40.0478
144.1003	-40.04763523
144.1002029	-40.0475
144.1	-40.04729376
144.0998505	-40.0472
144.0997	-40.04704955
144.0994952	-40.0469
144.0994	-40.04680482
144.0991	-40.04682237
144.0988535	-40.0466
144.0988	-40.04657974
144.0985	-40.04658844
144.0982	-40.04658217
144.0979	-40.04659819
144.0978973	-40.0466
144.0976	-40.0468703
144.0973719	-40.0469
144.0973	-40.04698741
144.097	-40.04716426
144.0969438	-40.0472
144.09686	-40.0475
144.0967	-40.04766952
144.0966166	-40.0478
144.0966195	-40.0481
144.0964	-40.04835986
144.0961	-40.04834548
144.0960302	-40.0484
144.0958	-40.04868862
144.0957797	-40.0487
144.0955	-40.04894879
144.095469	-40.049
144.0954317	-40.0493
144.0952	-40.04952142
144.0951413	-40.0496
144.0952	-40.04967829
144.0955	-40.04967655
144.0956005	-40.0499
144.0958	-40.05013967
144.0958332	-40.0502
144.0958218	-40.0505
144.0958	-40.05055254
144.0955525	-40.0508
144.0955327	-40.0511
144.0955	-40.05117187
144.095262	-40.0514
144.0952633	-40.0517
144.0953226	-40.052
144.0953756	-40.0523
144.0952	-40.05248338
144.0950814	-40.0526
144.0949	-40.05278978
144.0947895	-40.0529
144.0946	-40.05308922
144.0945062	-40.0532
144.0943	-40.05341608
144.0941976	-40.0535
144.0941043	-40.0538
144.094	-40.0538318
144.0937	-40.0538721
144.0935576	-40.0538
144.0934	-40.05364242
144.0932492	-40.0535
144.0931	-40.05336189
144.093034	-40.0532
144.0928	-40.05302354
144.0926602	-40.0529
144.0925828	-40.0526
144.0925	-40.05248567
144.0923326	-40.0523
144.0923512	-40.052
144.0923374	-40.0517
144.0922	-40.0515626
144.092013	-40.0514
144.0919	-40.05128698
144.0917357	-40.0511
144.0916	-40.0509643
144.0914234	-40.0508
144.0916	-40.05062372
144.0917237	-40.0505
144.0919	-40.05026415
144.0919253	-40.0502
144.0919	-40.05003281
144.0917638	-40.0499
144.0916265	-40.0496
144.0916	-40.04959146
144.0913	-40.04957179
144.0910247	-40.0493
144.091	-40.04928675
144.090701	-40.049
144.0907	-40.04899923
144.0904	-40.04899115
144.0901	-40.0489773
144.0898024	-40.0487
144.0898	-40.04869845
144.0895	-40.0486862
144.0892	-40.04868012
144.0889	-40.04863067
144.0886	-40.04861229
144.0883	-40.04855678
144.0881171	-40.0484
144.088	-40.04839328
144.0877434	-40.0484
144.0877	-40.04842445
144.0874	-40.04865737
144.0871	-40.0486589
144.0870112	-40.0487
144.0868	-40.04893328
144.0865	-40.04892594
144.0862	-40.0489636
144.0859176	-40.049
144.0859	-40.04900866
144.0858887	-40.049
144.0856	-40.04893132
144.0853	-40.04888762
144.085	-40.04887566
144.0847	-40.04893446
144.0844	-40.0489706
144.0841	-40.04896656
144.0838	-40.04896972
144.0835198	-40.0487
144.0835	-40.04868238
144.0832	-40.04866831
144.0829	-40.04867611
144.0826	-40.04868209
144.0824246	-40.0487
144.0823	-40.04874184
144.0821889	-40.0487
144.082	-40.04868772
144.0817	-40.04868828
144.0816801	-40.0487
144.0814	-40.04895233
144.0811	-40.04892519
144.0808	-40.04890683
144.0805	-40.04889747
144.0804225	-40.049
144.0802	-40.04916834
144.0799	-40.04920678
144.0796	-40.04920769
144.0794481	-40.0493
144.0793	-40.04942201
144.079	-40.04943034
144.0787	-40.04943313
144.0784	-40.04943151
144.0781	-40.04944101
144.0778	-40.0494807
144.077716	-40.0496
144.0775	-40.04981694
144.0772	-40.04981118
144.0769	-40.04977255
144.0766	-40.04976855
144.0763	-40.04980132
144.076	-40.04982378
144.0757	-40.04984428
144.0756182	-40.0499
144.0754	-40.0500825
144.0751	-40.05004333
144.0748	-40.05002494
144.0746168	-40.0502
144.0745	-40.05030072
144.0742	-40.05032736
144.0739	-40.05037224
144.0737722	-40.0505
144.0736	-40.05071878
144.0733	-40.05068678
144.073	-40.05066102
144.072861	-40.0508
144.0727	-40.05094435
144.0724	-40.05093389
144.0722339	-40.0511
144.0721	-40.05120389
144.0718	-40.05123098
144.071631	-40.0514
144.0715	-40.05156597
144.0712	-40.0515485
144.0710485	-40.0517
144.0709	-40.05184792
144.0706	-40.05182354
144.0703	-40.05185106
144.0701196	-40.0517
144.07	-40.05158044
144.0698832	-40.0517
144.07	-40.0517915
144.0701815	-40.052
144.07	-40.0522411
144.0699627	-40.0523
144.0697	-40.05253844
144.0696145	-40.0526
144.0694	-40.05279616
144.069277	-40.0529
144.0692704	-40.0532
144.0691	-40.05337326
144.0689733	-40.0535
144.0689961	-40.0538
144.0688	-40.05397227
144.0687189	-40.0541
144.0687668	-40.0544
144.0686625	-40.0547
144.0686638	-40.055
144.0685	-40.05517077
144.0684299	-40.0553
144.0684234	-40.0556
144.0684427	-40.0559
144.0684494	-40.0562
144.0684488	-40.0565
144.0684513	-40.0568
144.0684161	-40.0571
144.0682	-40.05732132
144.0681473	-40.0574
144.0681616	-40.0577
144.068095	-40.058
144.0679	-40.05818829
144.0676	-40.05824745
144.0675534	-40.0583
144.0673	-40.05852064
144.067	-40.05854452
144.0669064	-40.0586
144.0667	-40.05871247
144.0664	-40.05866511
144.0661	-40.05865713
144.0658	-40.05867906
