dates,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,c_t1,c_t2,c_t3,Month,Season,Season_Val,SAMI,SOI
1987-09-16 23:31:08+00:00,7.417982151687603,9.2723123489855,13.35658162958984,9.581018237869912,3.4337377108555387,2.700331853808024,2.1931816337760357,-1.1179736628480796,-4.775913642627131,-5.799817758367276,-5.6525798609542335,-10.331710698252904,-4.738652663987352,1.276219189343358,1.1855341664104344,0.7326091968178048,1.3482475886000245,3.447322973916677,0.931852610416243,1.048835043593371,3.3137729719600912,-3.3251651735611247,-9.972824189188565,-14.80011142097785,-9.49459763020046,-0.004129915176138325,-0.05465914163597917,0.004173571802289209,9,Spring,4.0,0.61,-6.0666666666666655
1987-09-23 23:37:29+00:00,8.514852717489745,17.19946887664519,27.12528552628341,22.67073478309851,26.871895912322287,23.174408299395573,18.57769364240744,15.030061600549187,18.641982877902308,17.605613270407375,20.314180366631547,26.414193097970625,16.754658986292874,13.612470366592888,14.205872016058734,13.95079722622456,23.211543890310598,23.519980015687597,24.01406206693153,26.38804203674122,21.25809374541357,23.83828672549319,20.97904243925734,15.68951838543824,9.519221712390753,0.12998470492089234,-0.01518517496954068,-0.04106849891576414,9,Spring,4.0,0.61,-6.0666666666666655
1987-10-25 23:38:03+00:00,-3.0785143165992253,0.0,2.776014799220782,8.942181596803245,12.115013577729684,14.388339592641891,9.519966402790809,9.906087924559728,9.74997077481708,5.159857785462499,6.820373421248739,11.06593976338187,7.7047306914951506,5.429582704547009,6.257739057019613,4.697777202437841,9.10728338117383,13.347887997869137,5.44141073869848,0.7560249626070146,3.261966102550496,5.045518138459656,1.210751166856333,6.821746672769812,4.316341614768149,0.04565253745570684,0.0018438979553101512,0.04089459707678909,10,Spring,4.0,0.61,-6.0666666666666655
1988-04-11 23:34:20+00:00,0.495242316418377,-0.1605020287946175,0.3292651372237571,5.062602272857831,4.806146391902502,6.505339275399365,9.81368930425677,7.821329812862018,7.384962622227434,6.677046410556798,7.63161758388236,-1.527696573372637,-0.5037150658587493,-1.317424389093901,2.658804259302606,7.363412092898145,7.545819821191664,5.94611965639367,9.354322657751574,3.5487756484022555,0.2865120407190531,2.730341559402632,6.126721301035936,4.402312647451815,-2.257536495255728,0.028501634138729533,0.0009640208834061965,0.016415861908405008,4,Autumn,2.0,-0.6433333333333332,3.6999999999999997
1988-06-21 23:41:02+00:00,16.57331905826782,16.445291230885083,32.28735966873674,33.442556838517135,30.293710179883742,30.379961102313068,25.394161105693968,24.31195640033688,26.862201937745372,21.67085677028152,17.520895239728965,14.72367045890332,12.95829667659163,13.24961723595252,10.684012668292304,7.918616818634845,13.298948531844523,18.733787551440365,11.184720593130628,10.90660290157377,5.473653815341791,7.1089744537245,12.30008190462474,11.313390041522126,7.155492107234622,0.11534011755444647,-0.07597618083520372,0.017422816866558534,6,Winter,3.0,-1.4733333333333334,7.433333333333334
1988-10-04 23:34:54+00:00,-8.223802516313953,0.7072997746011254,-6.153668936666669,2.070905677570991,-4.887449383547292,-3.566848644167237,-4.682333484249625,-2.9624045284971814,7.977137353299085,-3.841543004882105,-5.704398673458179,-3.087032953199376,-1.142815249835742,-21.698829417678528,-6.642644306777953,-8.77022397829366,-12.671800690108888,-11.976644883977087,-1.9375162725665405,3.1823893710408058,-0.547250039926567,-2.7800495280175213,-2.7673791524308697,0.5951007438597102,-0.0859755741277723,-0.025397748405293644,0.005495487069891369,-0.003881023205028495,10,Spring,4.0,-2.3200000000000003,18.566666666666666
1988-11-05 23:34:51+00:00,0.8770939396867874,3.669012203055267,10.289733195724525,13.509556823748367,13.229689917408336,10.102404450520972,11.350630740932388,10.595704668532704,9.383391719652195,-4.226771200791802,-0.8948879560197938,4.623904665905023,7.282670138711865,10.704893563612709,9.244825320706354,8.027167657957747,7.2421737493321885,5.75300345419965,-6.886053284327716,0.530056319270976,3.5520697385185755,9.394692279991943,13.320905211686792,14.051025544299089,6.736273103046294,0.04617845650371725,-0.005694312508136638,-0.01546018918471928,11,Spring,4.0,-2.3200000000000003,18.566666666666666
1988-11-21 23:34:51+00:00,-18.185361266016105,-4.437187977559375,-5.292464386005257,-10.241584044122073,-0.3635334165491883,4.055976946447245,1.7641040716821903,-3.0169627073747733,-1.295643615131148,-12.148524592325565,-14.396593401542642,-20.84492069041387,-12.298765870971025,-4.688055993174018,-4.182879994777068,1.31906879241253,-3.318010204111154,2.07498189056939,2.4164105959564424,4.991545551351258,0.5666386180069338,0.2208428092876815,6.241630803535372,-0.2978455610580539,0.9188203915517263,-0.021036732409055497,0.038158447924583346,-0.009111399676612317,11,Spring,4.0,-2.3200000000000003,18.566666666666666
1989-02-25 23:34:05+00:00,-2.7745209285590064,0.6004727612792422,-6.065289942493038,4.840751434736248,6.699818559146543,10.05137499011976,8.932384238572538,14.27953643135151,10.00723847151574,9.35768890710962,7.614080758899675,5.493950477110644,0.7166774338165354,-4.053748138439367,-4.0580929460303,-0.1127098761403218,-2.232590830451251,-0.0554383049974589,6.597417629771627,4.270280943654136,10.783424908093622,6.993925536614015,11.732382964012857,12.94505008455912,11.318989892975653,0.03461040107027028,0.022471136276319626,-0.016441968266563238,2,Summer,1.0,0.5566666666666666,-7.8
1989-03-04 23:40:06+00:00,-13.720350461141258,-4.337823675383149,0.7875351865874975,1.962220406094751,3.9518279824461473,9.72265668569505,6.508084183127622,4.651153560130119,2.38495057628397,-2.274534225098712,-3.182832780446212,-2.9237500860344454,-12.86171971790387,-10.322503368670215,-6.184319764129416,-6.173326473660559,-1.1513615254234608,6.839313535884557,17.850237858101195,17.925505636880416,16.879532547478007,19.603562677315907,21.463415707225263,26.688777847299413,25.675296861678035,0.033065138097226054,0.07595182553704886,-0.12750847003556373,3,Autumn,2.0,1.31,14.133333333333333
